canonical_id,dow,hour,busyness,busyness_pct
cv_0001,0,0,776.6,3.4
cv_0001,0,1,305.1,1.3
cv_0001,0,2,152.2,0.7
cv_0001,0,3,94.7,0.4
cv_0001,0,4,123.3,0.5
cv_0001,0,5,752.2,3.3
cv_0001,0,6,2181.0,9.6
cv_0001,0,7,4190.3,18.5
cv_0001,0,8,5901.9,26.1
cv_0001,0,9,4530.0,20.0
cv_0001,0,10,3390.1,15.0
cv_0001,0,11,3372.6,14.9
cv_0001,0,12,3721.8,16.4
cv_0001,0,13,4105.2,18.1
cv_0001,0,14,5074.6,22.4
cv_0001,0,15,6559.0,29.0
cv_0001,0,16,9243.4,40.8
cv_0001,0,17,15552.8,68.7
cv_0001,0,18,11362.3,50.2
cv_0001,0,19,6279.1,27.7
cv_0001,0,20,4335.3,19.2
cv_0001,0,21,3414.9,15.1
cv_0001,0,22,2596.7,11.5
cv_0001,0,23,1600.4,7.1
cv_0001,1,0,1118.0,4.9
cv_0001,1,1,343.9,1.5
cv_0001,1,2,161.9,0.7
cv_0001,1,3,97.7,0.4
cv_0001,1,4,132.0,0.6
cv_0001,1,5,862.9,3.8
cv_0001,1,6,2469.1,10.9
cv_0001,1,7,4988.6,22.0
cv_0001,1,8,7668.7,33.9
cv_0001,1,9,5752.6,25.4
cv_0001,1,10,3815.5,16.9
cv_0001,1,11,3645.3,16.1
cv_0001,1,12,4072.8,18.0
cv_0001,1,13,4548.5,20.1
cv_0001,1,14,5689.4,25.1
cv_0001,1,15,7451.0,32.9
cv_0001,1,16,11177.6,49.4
cv_0001,1,17,20193.8,89.2
cv_0001,1,18,14590.2,64.5
cv_0001,1,19,7924.3,35.0
cv_0001,1,20,5302.3,23.4
cv_0001,1,21,4704.0,20.8
cv_0001,1,22,3548.2,15.7
cv_0001,1,23,1946.1,8.6
cv_0001,2,0,1310.8,5.8
cv_0001,2,1,421.7,1.9
cv_0001,2,2,193.8,0.9
cv_0001,2,3,115.6,0.5
cv_0001,2,4,141.1,0.6
cv_0001,2,5,855.3,3.8
