canonical_id,canonical_name,venue_type,nearest_station_m,n_stations_within,peak_busyness,peak_busyness_pct
cv_0001,New York Public Library - Stephen A. Schwarzman Building,library,127,17,20193.8,89.2
cv_0002,Jefferson Market Library,library,273,16,4912.6,21.7
cv_0003,Black Cat LES,cafe,277,7,1577.6,7.0
cv_0004,Housing Works Bookstore,other,100,17,6294.1,27.8
cv_0009,"The New York Public Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",library,212,5,2214.7,9.8
cv_0005,Variety Coffee Roasters,cafe,158,16,6517.9,28.8
cv_0006,The Bean,cafe,247,14,2185.2,9.7
cv_0007,Stumptown Coffee Roasters,cafe,48,17,8974.4,39.6
cv_0008,Stavros Niarchos Foundation Library (SNFL),library,265,15,17997.4,79.5
cv_0010,Café-Flor / Bar 21,cafe,221,13,4450.6,19.7
cv_0011,Think Coffee,cafe,304,19,4356.5,19.2
cv_0012,Book Club Bar,cafe,570,11,383.1,1.7
cv_0013,Kona Coffee Roasters | East Village,cafe,275,14,2349.5,10.4
cv_0014,Paper Coffee,cafe,104,16,9875.7,43.6
cv_0015,Conwell Coffee & Cocktail Hall,cafe,154,13,9655.8,42.7
cv_0016,Poets House,library,585,14,1105.6,4.9
cv_0017,Amano Cafe,cafe,102,14,4761.3,21.0
cv_0026,Butler Bakeshop & Espresso Bar,cafe,212,17,6341.7,28.0
cv_0018,Think Coffee,cafe,130,17,7542.4,33.3
cv_0019,Ace Hotel New York,hotel,36,18,8923.0,39.4
cv_0020,Ground Support Cafe,cafe,263,17,4942.9,21.8
cv_0021,The Bean,cafe,132,17,5803.2,25.6
cv_0022,Mulberry Street Library,library,166,16,6096.2,26.9
cv_0023,Coffee Project New York | Chelsea,cafe,110,16,5946.1,26.3
cv_0024,Stumptown Coffee Roasters,cafe,220,15,4453.0,19.7
cv_0025,Gotan,cafe,25,17,5313.5,23.5
cv_0035,Webster Library,library,633,5,359.8,1.6
cv_0027,Coffee Project New York | East Village,cafe,359,13,2125.7,9.4
cv_0028,Ludlow Coffee Supply,cafe,287,12,1963.8,8.7
