canonical_id,canonical_name,venue_type,noise_pos,noise_neu,noise_neg,noise_n,crowding_pos,crowding_neu,crowding_neg,crowding_n,calm_pos,calm_neu,calm_neg,calm_n,show_calm
cv_0001,New York Public Library - Stephen A. Schwarzman Building,library,19,0,0,19,2,1,3,6,21,1,3,25,True
cv_0002,Jefferson Market Library,library,9,0,0,9,1,0,1,2,10,0,1,11,True
cv_0003,Black Cat LES,cafe,2,1,2,5,1,0,4,5,3,1,6,10,True
cv_0004,Housing Works Bookstore,other,9,1,1,11,1,0,3,4,10,1,4,15,True
cv_0009,"The New York Public Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",library,1,0,0,1,1,0,0,1,2,0,0,2,True
cv_0005,Variety Coffee Roasters,cafe,0,0,0,0,0,0,3,3,0,0,3,3,True
cv_0006,The Bean,cafe,1,2,0,3,1,0,4,5,2,2,4,8,True
cv_0007,Stumptown Coffee Roasters,cafe,1,0,0,1,0,1,1,2,1,1,1,3,True
cv_0008,Stavros Niarchos Foundation Library (SNFL),library,2,0,0,2,1,1,0,2,3,1,0,4,True
cv_0010,Café-Flor / Bar 21,cafe,1,1,0,2,0,0,0,0,1,1,0,2,True
cv_0011,Think Coffee,cafe,5,1,0,6,0,1,6,7,5,2,6,13,True
cv_0012,Book Club Bar,cafe,1,3,1,5,0,0,1,1,1,3,2,6,True
cv_0013,Kona Coffee Roasters | East Village,cafe,4,0,0,4,0,0,2,2,4,0,2,6,True
cv_0014,Paper Coffee,cafe,5,0,0,5,1,0,0,1,6,0,0,6,True
cv_0015,Conwell Coffee & Cocktail Hall,cafe,2,1,0,3,0,0,0,0,2,1,0,3,True
cv_0016,Poets House,library,5,0,0,5,0,0,0,0,5,0,0,5,True
cv_0017,Amano Cafe,cafe,4,0,0,4,0,1,2,3,4,1,2,7,True
cv_0026,Butler Bakeshop & Espresso Bar,cafe,2,0,0,2,0,0,1,1,2,0,1,3,True
cv_0018,Think Coffee,cafe,2,0,0,2,0,0,0,0,2,0,0,2,True
cv_0019,Ace Hotel New York,hotel,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0020,Ground Support Cafe,cafe,2,0,0,2,0,0,1,1,2,0,1,3,True
cv_0021,The Bean,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0022,Mulberry Street Library,library,3,0,0,3,1,0,0,1,4,0,0,4,True
cv_0023,Coffee Project New York | Chelsea,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0024,Stumptown Coffee Roasters,cafe,1,0,0,1,0,1,1,2,1,1,1,3,True
cv_0025,Gotan,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0035,Webster Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0027,Coffee Project New York | East Village,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0028,Ludlow Coffee Supply,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0029,Now or Never Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0030,Irving Farm Coffee,cafe,0,0,0,0,1,0,0,1,1,0,0,1,True
cv_0031,The Hungarian Pastry Shop,cafe,0,0,0,0,1,0,1,2,1,0,1,2,True
cv_0032,Caffe Reggio,cafe,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0033,Culture Espresso,cafe,2,0,0,2,0,0,0,0,2,0,0,2,True
cv_0034,Schomburg Center for Research in Black Culture - New York Public Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0320,Bluestone Lane Bryant Park Coffee Shop,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0036,Devoción,cafe,1,0,1,2,1,0,0,1,2,0,1,3,True
cv_0037,Seven Grams Caffe,cafe,0,0,0,0,0,0,2,2,0,0,2,2,True
cv_0038,The Lost Draft,cafe,1,0,1,2,0,0,0,0,1,0,1,2,True
cv_0039,The Chipped Cup,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
