canonical_id,canonical_name,venue_type,n_events_nearby,nearest_event_m
cv_0001,New York Public Library - Stephen A. Schwarzman Building,library,0,529.0
cv_0002,Jefferson Market Library,library,0,852.0
cv_0003,Black Cat LES,cafe,0,2686.0
cv_0004,Housing Works Bookstore,other,0,1931.0
cv_0009,"The New York Public Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",library,0,1829.0
cv_0005,Variety Coffee Roasters,cafe,0,1062.0
cv_0006,The Bean,cafe,0,2139.0
cv_0007,Stumptown Coffee Roasters,cafe,0,1269.0
cv_0008,Stavros Niarchos Foundation Library (SNFL),library,0,667.0
cv_0010,Café-Flor / Bar 21,cafe,0,674.0
cv_0011,Think Coffee,cafe,0,1612.0
cv_0012,Book Club Bar,cafe,0,2714.0
cv_0013,Kona Coffee Roasters | East Village,cafe,0,2102.0
cv_0014,Paper Coffee,cafe,0,1240.0
cv_0015,Conwell Coffee & Cocktail Hall,cafe,1,124.0
cv_0016,Poets House,library,0,1370.0
cv_0017,Amano Cafe,cafe,0,983.0
cv_0026,Butler Bakeshop & Espresso Bar,cafe,0,1965.0
cv_0018,Think Coffee,cafe,0,1380.0
cv_0019,Ace Hotel New York,hotel,0,1275.0
cv_0020,Ground Support Cafe,cafe,0,1837.0
cv_0021,The Bean,cafe,0,1533.0
cv_0022,Mulberry Street Library,library,0,2014.0
cv_0023,Coffee Project New York | Chelsea,cafe,0,725.0
cv_0024,Stumptown Coffee Roasters,cafe,0,1072.0
cv_0025,Gotan,cafe,0,1653.0
cv_0035,Webster Library,library,0,3292.0
cv_0027,Coffee Project New York | East Village,cafe,0,2026.0
cv_0028,Ludlow Coffee Supply,cafe,0,2599.0
cv_0029,Now or Never Coffee,cafe,0,1968.0
cv_0030,Irving Farm Coffee,cafe,0,1338.0
cv_0031,The Hungarian Pastry Shop,cafe,0,5514.0
cv_0032,Caffe Reggio,cafe,0,1222.0
cv_0033,Culture Espresso,cafe,0,550.0
cv_0034,Schomburg Center for Research in Black Culture - New York Public Library,library,0,7448.0
cv_0320,Bluestone Lane Bryant Park Coffee Shop,cafe,0,291.0
cv_0036,Devoción,cafe,0,1393.0
cv_0037,Seven Grams Caffe,cafe,0,1100.0
cv_0038,The Lost Draft,cafe,0,2107.0
cv_0039,The Chipped Cup,cafe,0,8570.0
cv_0040,Felix Roasting Co.,cafe,0,1354.0
cv_0041,Devoción,cafe,0,1436.0
cv_0042,Gregorys Coffee,cafe,0,311.0
cv_0043,Think Coffee,cafe,0,1841.0
cv_0044,Bibliotheque,cafe,0,2069.0
cv_0045,Ground Central Coffee Company,cafe,0,322.0
cv_0046,Ariston Flowers,other,0,1093.0
cv_0047,Joe Coffee Company: Waverly,cafe,0,911.0
cv_0048,citizenM New York Bowery,hotel,0,2276.0
cv_0049,Irving Farm Coffee,cafe,0,2993.0
cv_0050,Dear Mama,cafe,0,7039.0
cv_0051,PUBLIC Hotel,hotel,0,2249.0
cv_0052,787 Coffee,cafe,0,748.0
cv_0053,787 Coffee,cafe,0,1958.0
cv_0054,Capital One Café,cafe,0,795.0
cv_0055,Ground Central Coffee Company,cafe,0,758.0
cv_0056,Pause Cafe,cafe,0,2811.0
cv_0057,Remi43 Flower & Coffee,cafe,0,1425.0
cv_0062,Buunni Coffee - Pinehurst,cafe,0,11669.0
cv_0058,The Marlton Hotel,hotel,0,1151.0
cv_0059,Capital One Café,cafe,0,1383.0
cv_0060,The Clock Coffee Shop,cafe,0,764.0
cv_0061,The Townhouse Cafe,cafe,0,5054.0
cv_0063,Ground Central Coffee Company,cafe,0,1046.0
cv_0064,Felix Roasting Co.,cafe,0,1709.0
cv_0065,Everyman Espresso,cafe,0,1693.0
cv_0066,Kaffe Åre,cafe,0,1167.0
cv_0067,Bluestone Lane Midtown East Coffee Shop,cafe,0,768.0
cv_0068,Café Grumpy - Lower East Side,cafe,0,2047.0
cv_0069,Bean & Bean Chelsea,cafe,0,1014.0
cv_0070,Think Coffee,cafe,0,1576.0
cv_0104,Ninth Street Espresso,cafe,0,2904.0
cv_0071,Barnes & Noble,cafe,0,1391.0
cv_0072,Ost Cafe,cafe,0,2604.0
cv_0073,Central Perk Coffee Company,cafe,0,294.0
cv_0074,53rd Street Library,library,0,851.0
cv_0075,St. Agnes Library,library,0,3181.0
cv_0076,Bloomingdale Library,library,0,4593.0
cv_0077,Yorkville Library,library,0,3106.0
cv_0078,New Amsterdam Library,library,0,1020.0
cv_0114,Intelligentsia Coffee High Line Hotel Coffeebar,cafe,0,591.0
cv_0079,Toby’s Estate Coffee,cafe,0,1206.0
cv_0080,Irving Farm Coffee,cafe,0,1621.0
cv_0081,Felix Roasting Co.,cafe,0,1607.0
cv_0082,Birch Coffee,cafe,0,4331.0
cv_0083,The Roxy Hotel New York,hotel,0,1701.0
cv_0084,King's Street Coffee,cafe,0,1095.0
cv_0085,Brookfield Place,other,0,1001.0
cv_0086,Remi Flower & Coffee,cafe,0,1471.0
cv_0115,NewsBar Café,cafe,0,1319.0
cv_0087,Birch Coffee,cafe,0,1593.0
cv_0088,Capital One Café,cafe,0,1600.0
