canonical_id,canonical_name,venue_type,kde_per_year,rate_100,rate_200,rate_300
cv_0001,New York Public Library - Stephen A. Schwarzman Building,library,268.1,276.5,1326.0,3465.5
cv_0002,Jefferson Market Library,library,1196.2,1362.0,3622.5,7187.0
cv_0003,Black Cat LES,cafe,817.2,851.0,3702.0,6771.0
cv_0004,Housing Works Bookstore,other,597.9,632.0,2540.0,5509.0
cv_0009,"The New York Public Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",library,134.9,159.5,438.5,2014.5
cv_0005,Variety Coffee Roasters,cafe,433.0,543.0,1908.0,4762.0
cv_0006,The Bean,cafe,765.6,861.0,2122.5,5081.0
cv_0007,Stumptown Coffee Roasters,cafe,682.4,568.0,2863.5,5738.0
cv_0008,Stavros Niarchos Foundation Library (SNFL),library,374.6,370.5,1470.5,3689.0
cv_0010,Café-Flor / Bar 21,cafe,731.0,831.5,2703.0,5893.0
cv_0011,Think Coffee,cafe,424.5,482.0,1368.5,3041.5
cv_0012,Book Club Bar,cafe,580.7,661.5,1928.5,6483.0
cv_0013,Kona Coffee Roasters | East Village,cafe,799.5,810.0,2671.0,5062.0
cv_0014,Paper Coffee,cafe,485.3,487.0,2106.5,5585.5
cv_0015,Conwell Coffee & Cocktail Hall,cafe,706.4,636.0,3157.0,4727.0
cv_0016,Poets House,library,170.5,232.0,692.5,979.5
cv_0017,Amano Cafe,cafe,1102.0,1147.0,4495.0,8243.0
cv_0026,Butler Bakeshop & Espresso Bar,cafe,342.6,272.5,1593.0,5729.5
cv_0018,Think Coffee,cafe,637.4,619.5,3136.5,5797.5
cv_0019,Ace Hotel New York,hotel,633.4,446.5,2734.0,5875.5
cv_0020,Ground Support Cafe,cafe,433.2,487.5,1822.5,4092.5
cv_0021,The Bean,cafe,329.2,325.5,1642.0,3579.5
cv_0022,Mulberry Street Library,library,626.0,573.0,2969.5,5869.5
cv_0023,Coffee Project New York | Chelsea,cafe,586.0,490.5,2212.0,5371.5
cv_0024,Stumptown Coffee Roasters,cafe,585.1,480.5,3583.5,6430.0
cv_0025,Gotan,cafe,672.1,276.5,2193.5,3297.0
cv_0035,Webster Library,library,319.8,304.0,1576.0,3248.5
cv_0027,Coffee Project New York | East Village,cafe,889.4,1104.0,3020.5,6074.5
cv_0028,Ludlow Coffee Supply,cafe,1449.2,2256.0,4641.0,9405.5
cv_0029,Now or Never Coffee,cafe,380.7,418.0,1277.0,2822.0
cv_0030,Irving Farm Coffee,cafe,571.9,581.0,2612.5,5252.0
cv_0031,The Hungarian Pastry Shop,cafe,440.7,520.0,1946.5,4140.0
cv_0032,Caffe Reggio,cafe,1060.1,1180.0,3629.5,7431.0
cv_0033,Culture Espresso,cafe,371.4,460.0,1278.5,2976.0
cv_0034,Schomburg Center for Research in Black Culture - New York Public Library,library,528.0,409.5,2155.5,6413.5
cv_0320,Bluestone Lane Bryant Park Coffee Shop,cafe,359.2,298.0,1516.5,4294.0
cv_0036,Devoción,cafe,658.7,819.0,1850.5,4151.0
cv_0037,Seven Grams Caffe,cafe,354.3,280.0,1580.0,4433.0
cv_0038,The Lost Draft,cafe,625.5,627.0,2753.0,6158.5
cv_0039,The Chipped Cup,cafe,929.0,799.0,3473.5,8373.5
cv_0040,Felix Roasting Co.,cafe,433.5,291.0,2356.0,5478.0
cv_0041,Devoción,cafe,382.0,417.0,1328.0,4091.0
cv_0042,Gregorys Coffee,cafe,329.6,372.0,1548.0,3548.0
cv_0043,Think Coffee,cafe,702.4,801.0,1849.0,4307.5
cv_0044,Bibliotheque,cafe,485.1,474.0,1745.0,4245.0
cv_0045,Ground Central Coffee Company,cafe,381.4,374.0,1420.0,3281.5
cv_0046,Ariston Flowers,other,532.7,591.5,1616.0,3961.5
cv_0047,Joe Coffee Company: Waverly,cafe,1407.0,1589.5,4828.0,7978.0
cv_0048,citizenM New York Bowery,hotel,806.8,1002.0,2573.0,6528.5
cv_0049,Irving Farm Coffee,cafe,379.9,352.5,1418.5,3372.0
cv_0050,Dear Mama,cafe,158.5,120.0,1253.0,2151.0
cv_0051,PUBLIC Hotel,hotel,398.6,430.0,1795.5,5274.5
cv_0052,787 Coffee,cafe,663.2,613.0,2561.0,5573.5
cv_0053,787 Coffee,cafe,796.8,642.5,3848.5,7530.0
cv_0054,Capital One Café,cafe,607.9,680.5,1672.0,4074.5
cv_0055,Ground Central Coffee Company,cafe,424.2,375.0,2049.5,5708.0
cv_0056,Pause Cafe,cafe,1329.1,1496.5,3473.0,7891.0
cv_0057,Remi43 Flower & Coffee,cafe,501.0,406.5,1772.5,3381.5
cv_0062,Buunni Coffee - Pinehurst,cafe,417.4,449.0,1447.5,2760.0
cv_0058,The Marlton Hotel,hotel,712.0,869.0,1673.0,5528.5
cv_0059,Capital One Café,cafe,711.5,851.0,2550.5,5880.0
cv_0060,The Clock Coffee Shop,cafe,333.6,253.5,1573.5,4255.5
cv_0061,The Townhouse Cafe,cafe,626.5,517.5,3194.5,5009.5
cv_0063,Ground Central Coffee Company,cafe,340.6,322.0,1195.5,3777.5
cv_0064,Felix Roasting Co.,cafe,200.1,116.5,1256.5,4409.0
cv_0065,Everyman Espresso,cafe,647.2,567.0,2997.0,6162.5
cv_0066,Kaffe Åre,cafe,333.2,325.5,1088.0,2203.5
cv_0067,Bluestone Lane Midtown East Coffee Shop,cafe,352.7,211.5,1574.0,3087.0
