canonical_id,canonical_name,venue_type,nearest_class,nearest_dist_m,n_roads_within,dominant_class,dominant_dist_m,road_db,road_noise_prior
cv_0001,New York Public Library - Stephen A. Schwarzman Building,library,pedestrian,41.3,92,primary,84.9,60.7,0.449
cv_0002,Jefferson Market Library,library,service,12.2,71,secondary,26.6,62.8,0.507
cv_0003,Black Cat LES,cafe,residential,8.6,103,motorway,151.2,63.2,0.52
cv_0004,Housing Works Bookstore,other,residential,16.1,81,primary,76.9,61.1,0.461
cv_0009,"The New York Public Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",library,pedestrian,35.9,108,primary,49.7,63.0,0.515
cv_0005,Variety Coffee Roasters,cafe,residential,8.8,50,secondary,22.5,63.5,0.528
cv_0006,The Bean,cafe,residential,13.5,101,primary,18.1,67.4,0.641
cv_0007,Stumptown Coffee Roasters,cafe,residential,14.1,80,secondary,125.5,56.0,0.315
cv_0008,Stavros Niarchos Foundation Library (SNFL),library,secondary,15.4,103,secondary,15.4,65.1,0.575
cv_0010,Café-Flor / Bar 21,cafe,residential,20.3,36,secondary,30.4,62.2,0.49
cv_0011,Think Coffee,cafe,residential,12.9,93,primary,68.8,61.6,0.475
cv_0012,Book Club Bar,cafe,residential,22.5,72,primary,170.9,57.7,0.362
cv_0013,Kona Coffee Roasters | East Village,cafe,primary,15.5,94,primary,15.5,68.1,0.66
cv_0014,Paper Coffee,cafe,residential,22.1,75,secondary,67.3,58.7,0.392
cv_0015,Conwell Coffee & Cocktail Hall,cafe,residential,7.6,151,motorway,261.5,60.8,0.452
cv_0016,Poets House,library,residential,10.6,80,trunk,248.7,59.0,0.401
cv_0017,Amano Cafe,cafe,residential,8.1,83,secondary,82.9,57.8,0.366
cv_0026,Butler Bakeshop & Espresso Bar,cafe,primary,11.9,74,primary,11.9,69.3,0.693
cv_0018,Think Coffee,cafe,residential,12.7,69,secondary,21.3,63.7,0.535
cv_0019,Ace Hotel New York,hotel,residential,23.1,80,secondary,133.3,55.8,0.307
cv_0020,Ground Support Cafe,cafe,residential,14.4,52,trunk,250.0,59.0,0.401
cv_0021,The Bean,cafe,primary,15.6,73,primary,15.6,68.1,0.659
